Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h32m35.4s +52d56m50s,PGC 35615,,UGC 06527a     R,HICK 056D,.SAS0P*,,,,,,,113235.4+525650,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,151.0,0.6560999495096017
11h32m34.9s +53d04m04s,PGC 35616,NGC 3718,UGC 06524      R,ARP 214,.SBS1P.,11.59M,1.91,.02,15,.31,.03,113234.9+530404 N,,4.064152580820496,15.0,1.9905358527674861
11h32m36.7s +52d56m51s,PGC 35618,,UGC 06527b     R,HICK 056C,PS..0P*,15.82M,,,,,,113236.7+525651,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,70.0,0.6560999495096017
11h32m37.6008s +52d56m53.016s,PGC 35620,,UGC 06527c     R,MK 0176,.S..1P/,16.22S,1.05,.05,,.53,.06,113240.4+525700,"NOPA,OFFSET 26.245 arcsec,NedNoPA,HANDADJ PA Major Minor,",1.2,90.0,0.6
11h32m46.7s +52d56m28s,PGC 35631,,MCG +09-19-113,HICK 056A,.S?....,16.21S,1.04,.09,,.78,.07,113246.7+525628,"NOPA,PANedMedian,",0.5482390980715925,172.0,0.09098504293049917
11h33m13.4496s +50d18m07.884s,PGC 35671,,UGC 06535      U,,.S..6*.,,1.06,.06,67,.93,.05,113313.7+501808,"OFFSET 2.402 arcsec,",0.5740768107484414,67.0,0.06744814412958268
11h33m21.1s +47d01m45s,PGC 35676,NGC 3726,UGC 06537      R,IRAS11306+4718,.SXR5..,10.91S,1.79,.02,10,.16,.02,113321.1+470145 N,,3.082975009307411,10.0,2.1328975940079635
11h33m23.4744s +55d04m20.1s,PGC 35678,A 1130+55,UGCA 239       R,MK 0177,.P.....,15.8,.51,.11,,.15,.07,113322.9+550420 A,"NOPA,OFFSET 4.934 arcsec,PANedMedian,",0.16179682846481414,155.0,0.11454338263838866
11h33m28.9008s +49d14m13.992s,PGC 35684,A 1130+49,UGC 06541a+b   U,MK 0178,.I..9..,14.50,1.09,.06,133,.27,.05,113328.9+491415 A,"OFFSET 1.008 arcsec,",0.6151343854061909,133.0,0.33034672400379805
11h33m49.3248s +53d07m31.98s,PGC 35711,NGC 3729,UGC 06547      R,IRAS11310+5324,.SBR1P.,12.03S,1.45,.02,15,.17,.03,113349.3+530731 N,"OFFSET 1.005 arcsec,",1.4091914656322269,15.0,0.9527303589816236
11h33m59.2s +49d03m43s,PGC 35720,IC 0708,UGC 06549      U,,.E.....,,1.15,.15,95,.19,.08,113359.2+490343 I,,0.706268772311377,95.0,0.45600541967795466
